Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill
9,19.0,0.0,15.0,7.0,0,8,Vadodara,Bonfiglioli Transmission Pvt. Ltd.,370,7.8,2886.0
5,21.0,1.0,11.0,7.0,0,2,Ratnagiri,Sunil Hitech Eng,350,7.4,2590.0
15,23.0,1.0,10.0,1.0,0,7,Gurgaon,Unitech Power Transmission Ltd.,447,8.3,3710.1000000000004
17,22.0,0.0,21.0,1.0,0,3,Pune,L&T Transmission & Distribution,656,9.1,5969.599999999999
9,20.0,2.0,5.0,1.0,0,3,Hyderabad,Guj Ind Power,339,8.4,2847.6
19,23.0,1.0,3.0,1.0,0,8,New Delhi,Neueon Towers / Sujana Towers Ltd.,358,8.5,3043.0
17,22.0,3.0,21.0,1.0,0,10,Kolkata,SJVN Ltd.,686,8.7,5968.2
6,23.0,0.0,9.0,1.0,0,1,Dahej,Jaiprakash Power,278,7.6,2112.7999999999997
15,22.0,0.0,21.0,1.0,0,2,Kolkata,Orient Green,576,8.7,5011.2
15,22.0,0.0,17.0,1.0,0,6,Dahej,Neueon Towers / Sujana Towers Ltd.,504,7.6,3830.3999999999996
17,23.0,1.0,17.0,1.0,0,6,Faridabad,Guj Ind Power,633,8.1,5127.3
15,22.0,2.0,7.0,1.0,0,3,Faridabad,Ringfeder Power Transmission India Pvt. Ltd.,445,8.1,3604.5
6,20.0,0.0,7.0,1.0,0,9,Kolkata,CESC,351,8.7,3053.7
13,22.0,3.0,12.0,1.0,0,3,Navi Mumbai,L&T Transmission & Distribution,604,9.3,5617.200000000001
11,22.0,2.0,19.0,1.0,0,7,Chennai,NHPC,531,8.8,4672.8
19,23.0,1.0,18.0,12.0,0,9,Dahej,NHPC,767,7.6,5829.2
19,22.0,0.0,22.0,12.0,0,9,Ahmedabad,Adani Power Ltd.,675,7.9,5332.5
14,23.0,3.0,8.0,1.0,0,10,Shimla,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",646,7.7,4974.2
10,17.0,2.0,22.0,1.0,0,6,Shimla,Guj Ind Power,594,7.7,4573.8
21,23.0,2.0,8.0,1.0,0,11,Faridabad,Kalpataru Power,469,8.1,3798.8999999999996
16,22.0,2.0,9.0,1.0,0,4,New Delhi,Unitech Power Transmission Ltd.,548,8.5,4658.0
20,23.0,2.0,20.0,1.0,0,2,Chennai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),652,8.8,5737.6
11,23.0,1.0,18.0,1.0,0,9,Navi Mumbai,Orient Green,407,9.3,3785.1000000000004
18,23.0,2.0,19.0,1.0,0,12,Navi Mumbai,SJVN Ltd.,699,9.3,6500.700000000001
8,22.0,0.0,7.0,1.0,0,12,Gurgaon,TransRail Lighting,463,8.3,3842.9000000000005
7,17.0,0.0,6.0,1.0,0,11,Chennai,NTPC Pvt. Ltd.,312,8.8,2745.6000000000004
9,20.0,1.0,10.0,1.0,0,6,Navi Mumbai,KEC International,341,9.3,3171.3
18,22.0,0.0,3.0,1.0,0,11,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),289,9.2,2658.7999999999997
6,23.0,0.0,18.0,1.0,0,12,Faridabad,Kalpataru Power,442,8.1,3580.2
20,22.0,0.0,19.0,12.0,0,3,Kolkata,Tata Power Company Ltd.,712,8.7,6194.4
23,22.0,3.0,6.0,12.0,0,6,Ahmedabad,NHPC,631,7.9,4984.900000000001
16,22.0,3.0,14.0,1.0,0,4,Navi Mumbai,JSW Energy Ltd.,686,9.3,6379.8
9,23.0,1.0,4.0,1.0,0,9,Chennai,CESC,347,8.8,3053.6000000000004
12,23.0,3.0,11.0,12.0,0,1,Faridabad,Kalpataru Power,624,8.1,5054.4
11,22.0,2.0,4.0,1.0,0,1,Ratnagiri,NLC India,362,7.4,2678.8
22,22.0,1.0,10.0,1.0,0,8,Hyderabad,SJVN Ltd.,397,8.4,3334.8
16,23.0,1.0,13.0,12.0,0,1,Ratnagiri,Reliance Power,550,7.4,4070.0
7,20.0,1.0,12.0,7.0,0,6,Navi Mumbai,Reliance Power,581,9.3,5403.3
21,22.0,1.0,16.0,1.0,0,3,Faridabad,Sterlite Power Transmission Ltd,537,8.1,4349.7
22,22.0,3.0,14.0,12.0,0,3,Kolkata,Tata Power Company Ltd.,865,8.7,7525.499999999999
20,23.0,2.0,13.0,1.0,0,5,Dahej,Kalpataru Power,684,7.6,5198.4
13,22.0,1.0,12.0,1.0,0,8,Gurgaon,Neueon Towers / Sujana Towers Ltd.,421,8.3,3494.3
6,19.0,2.0,12.0,1.0,0,8,Noida,Torrent Power Ltd.,392,8.2,3214.3999999999996
7,17.0,2.0,21.0,7.0,0,6,Ahmedabad,Unitech Power Transmission Ltd.,396,7.9,3128.4
14,23.0,2.0,15.0,12.0,0,7,Kolkata,KEC International,587,8.7,5106.9
13,22.0,0.0,11.0,1.0,0,4,Pune,TransRail Lighting,549,9.1,4995.9
6,18.0,0.0,7.0,1.0,0,7,Hyderabad,Jaiprakash Power,314,8.4,2637.6
12,22.0,0.0,4.0,1.0,0,12,Noida,GE T&D India Limited,343,8.2,2812.6
16,22.0,3.0,7.0,12.0,0,12,Navi Mumbai,GE T&D India Limited,656,9.3,6100.8
20,23.0,2.0,15.0,12.0,0,9,Vadodara,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",619,7.8,4828.2
22,23.0,2.0,22.0,12.0,0,1,Dahej,Sunil Hitech Eng,695,7.6,5282.0
8,22.0,1.0,11.0,1.0,0,3,Navi Mumbai,TransRail Lighting,347,9.3,3227.1000000000004
14,22.0,2.0,21.0,1.0,0,4,Shimla,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),492,7.7,3788.4
17,23.0,1.0,18.0,1.0,0,1,Dahej,Reliance Energy,607,7.6,4613.2
17,23.0,0.0,4.0,1.0,0,7,Hyderabad,Orient Green,288,8.4,2419.2000000000003
18,23.0,0.0,15.0,12.0,0,11,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,627,7.7,4827.900000000001
15,22.0,2.0,14.0,1.0,0,4,Noida,NTPC Pvt. Ltd.,666,8.2,5461.2
19,22.0,0.0,14.0,1.0,0,2,Nagpur,SJVN Ltd.,576,8.9,5126.400000000001
20,23.0,0.0,19.0,12.0,0,10,Vadodara,SJVN Ltd.,549,7.8,4282.2
12,22.0,1.0,19.0,1.0,0,8,Dahej,L&T Transmission & Distribution,677,7.6,5145.2
21,22.0,3.0,19.0,1.0,0,12,Chennai,Sunil Hitech Eng,710,8.8,6248.000000000001
16,22.0,1.0,6.0,12.0,0,10,Noida,Unitech Power Transmission Ltd.,582,8.2,4772.4
12,23.0,0.0,3.0,12.0,0,8,Faridabad,L&T Transmission & Distribution,455,8.1,3685.5
20,23.0,1.0,16.0,1.0,0,12,Kolkata,Adani Power Ltd.,485,8.7,4219.5
6,17.0,3.0,6.0,1.0,0,8,Ratnagiri,NLC India,344,7.4,2545.6
9,20.0,1.0,15.0,1.0,0,12,Shimla,Neueon Towers / Sujana Towers Ltd.,536,7.7,4127.2
7,23.0,3.0,8.0,7.0,0,8,Noida,Power Grid Corp,557,8.2,4567.4
17,23.0,3.0,21.0,1.0,0,12,Faridabad,Indowind Energy,795,8.1,6439.5
12,22.0,2.0,11.0,1.0,0,9,Hyderabad,Guj Ind Power,532,8.4,4468.8
14,22.0,0.0,6.0,1.0,0,1,Hyderabad,Reliance Power,523,8.4,4393.2
19,22.0,3.0,19.0,1.0,0,4,Faridabad,CESC,505,8.1,4090.5
10,19.0,1.0,21.0,7.0,0,8,Vadodara,NHPC,604,7.8,4711.2
8,23.0,2.0,18.0,1.0,0,12,Chennai,Neueon Towers / Sujana Towers Ltd.,512,8.8,4505.6
19,23.0,3.0,14.0,1.0,0,6,Hyderabad,Jaiprakash Power,597,8.4,5014.8
11,22.0,3.0,14.0,12.0,0,10,Kolkata,Sunil Hitech Eng,594,8.7,5167.799999999999
23,23.0,0.0,11.0,1.0,0,7,Dahej,Neueon Towers / Sujana Towers Ltd.,496,7.6,3769.6
13,23.0,1.0,21.0,1.0,0,1,Ratnagiri,Unitech Power Transmission Ltd.,552,7.4,4084.8
18,23.0,1.0,12.0,1.0,0,5,Navi Mumbai,Unitech Power Transmission Ltd.,497,9.3,4622.1
6,19.0,3.0,22.0,1.0,0,4,Shimla,Ringfeder Power Transmission India Pvt. Ltd.,544,7.7,4188.8
8,23.0,1.0,9.0,1.0,0,8,Shimla,Torrent Power Ltd.,565,7.7,4350.5
17,22.0,0.0,20.0,1.0,0,3,Ratnagiri,NLC India,632,7.4,4676.8
21,22.0,1.0,15.0,1.0,0,9,Navi Mumbai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",409,9.3,3803.7000000000003
22,22.0,0.0,11.0,1.0,0,6,Navi Mumbai,Power Grid Corp,366,9.3,3403.8
8,22.0,2.0,4.0,7.0,0,9,Gurgaon,Power Grid Corp,337,8.3,2797.1000000000004
22,23.0,2.0,3.0,1.0,0,9,Mumbai,Guj Ind Power,522,9.2,4802.4
23,23.0,2.0,16.0,1.0,0,12,Dahej,Kalpataru Power,505,7.6,3838.0
17,22.0,1.0,19.0,1.0,0,8,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),563,9.3,5235.900000000001
11,22.0,3.0,21.0,1.0,0,6,Pune,Kalpataru Power,531,9.1,4832.099999999999
21,23.0,3.0,4.0,12.0,0,9,Noida,Indowind Energy,564,8.2,4624.799999999999
6,18.0,2.0,4.0,1.0,0,7,Faridabad,Bonfiglioli Transmission Pvt. Ltd.,311,8.1,2519.1
18,22.0,2.0,9.0,1.0,0,6,New Delhi,Bonfiglioli Transmission Pvt. Ltd.,410,8.5,3485.0
15,23.0,3.0,5.0,12.0,0,2,Hyderabad,SJVN Ltd.,685,8.4,5754.0
18,22.0,3.0,16.0,12.0,0,2,Hyderabad,Orient Green,547,8.4,4594.8
18,22.0,3.0,3.0,1.0,0,5,Nagpur,Optibelt Power Transmission India Private Limited,587,8.9,5224.3
17,22.0,0.0,3.0,1.0,0,12,Faridabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),503,8.1,4074.2999999999997
16,23.0,0.0,8.0,1.0,0,5,Noida,KEC International,441,8.2,3616.2
8,17.0,0.0,22.0,7.0,0,12,Ahmedabad,SJVN Ltd.,359,7.9,2836.1
12,23.0,2.0,4.0,1.0,0,3,Mumbai,KEC International,400,9.2,3679.9999999999995
17,23.0,1.0,15.0,1.0,0,9,Ahmedabad,Optibelt Power Transmission India Private Limited,486,7.9,3839.4
21,22.0,2.0,7.0,1.0,0,1,Shimla,Orient Green,632,7.7,4866.400000000001
21,23.0,3.0,4.0,1.0,0,5,Vadodara,Sterlite Power Transmission Ltd,479,7.8,3736.2
12,22.0,2.0,10.0,1.0,0,9,Ratnagiri,Tata Power Company Ltd.,373,7.4,2760.2000000000003
13,23.0,2.0,22.0,1.0,0,10,Vadodara,Jyoti Structure,519,7.8,4048.2
23,23.0,2.0,8.0,12.0,0,7,Nagpur,Kalpataru Power,685,8.9,6096.5
12,23.0,3.0,11.0,1.0,0,2,Ahmedabad,Kalpataru Power,394,7.9,3112.6000000000004
17,22.0,2.0,19.0,1.0,0,3,Faridabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,737,8.1,5969.7
14,23.0,0.0,8.0,12.0,0,3,Noida,NHPC,441,8.2,3616.2
19,22.0,2.0,17.0,12.0,0,5,Gurgaon,Jyoti Structure,613,8.3,5087.900000000001
12,22.0,3.0,16.0,12.0,0,1,Dahej,KEC International,635,7.6,4826.0
11,23.0,3.0,19.0,12.0,0,6,Gurgaon,SJVN Ltd.,557,8.3,4623.1
10,22.0,0.0,4.0,1.0,0,3,Navi Mumbai,JSW Energy Ltd.,332,9.3,3087.6000000000004
8,18.0,1.0,15.0,1.0,0,9,Navi Mumbai,L&T Transmission & Distribution,306,9.3,2845.8
5,23.0,1.0,9.0,1.0,0,7,Kolkata,Ringfeder Power Transmission India Pvt. Ltd.,307,8.7,2670.8999999999996
14,23.0,2.0,19.0,1.0,0,9,Hyderabad,CESC,666,8.4,5594.400000000001
6,23.0,0.0,12.0,1.0,0,11,Mumbai,Power Grid Corp,477,9.2,4388.4
6,22.0,1.0,3.0,1.0,0,10,Dahej,NHPC,259,7.6,1968.3999999999999
19,22.0,0.0,14.0,1.0,0,12,Ahmedabad,Orient Green,637,7.9,5032.3
8,18.0,3.0,8.0,1.0,0,10,Navi Mumbai,Ringfeder Power Transmission India Pvt. Ltd.,366,9.3,3403.8
8,23.0,1.0,3.0,1.0,0,7,Mumbai,Sunil Hitech Eng,457,9.2,4204.4
6,23.0,0.0,9.0,1.0,0,9,Kolkata,Adani Power Ltd.,309,8.7,2688.2999999999997
6,22.0,1.0,11.0,1.0,0,7,Noida,Kalpataru Power,377,8.2,3091.3999999999996
22,23.0,1.0,21.0,1.0,0,10,Noida,Kalpataru Power,705,8.2,5780.999999999999
16,23.0,2.0,9.0,1.0,0,11,Hyderabad,Ringfeder Power Transmission India Pvt. Ltd.,419,8.4,3519.6000000000004
9,20.0,0.0,10.0,1.0,0,10,Shimla,Power Grid Corp,513,7.7,3950.1
23,23.0,1.0,13.0,1.0,0,4,Vadodara,CESC,418,7.8,3260.4
20,22.0,3.0,12.0,1.0,0,4,Gurgaon,Kalpataru Power,675,8.3,5602.500000000001
7,19.0,0.0,22.0,1.0,0,3,Vadodara,NLC India,481,7.8,3751.7999999999997
13,23.0,3.0,20.0,1.0,0,11,Ahmedabad,Unitech Power Transmission Ltd.,720,7.9,5688.0
10,21.0,3.0,13.0,1.0,0,12,Hyderabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",572,8.4,4804.8
15,22.0,2.0,21.0,12.0,0,2,Vadodara,NTPC Pvt. Ltd.,602,7.8,4695.599999999999
19,23.0,3.0,22.0,1.0,0,3,Navi Mumbai,Jaiprakash Power,688,9.3,6398.400000000001
22,22.0,3.0,12.0,1.0,0,3,New Delhi,Reliance Power,475,8.5,4037.5
9,22.0,1.0,20.0,1.0,0,7,Noida,Power Grid Corp,407,8.2,3337.3999999999996
10,21.0,3.0,6.0,7.0,0,12,Noida,NTPC Pvt. Ltd.,596,8.2,4887.2
18,22.0,1.0,21.0,1.0,0,9,Nagpur,Sterlite Power Transmission Ltd,462,8.9,4111.8
15,23.0,0.0,15.0,1.0,0,8,Navi Mumbai,L&T Transmission & Distribution,416,9.3,3868.8
9,18.0,1.0,7.0,1.0,0,11,Dahej,Bonfiglioli Transmission Pvt. Ltd.,281,7.6,2135.6
14,22.0,1.0,10.0,1.0,0,10,Hyderabad,NLC India,368,8.4,3091.2000000000003
11,23.0,3.0,20.0,12.0,0,6,Kolkata,Guj Ind Power,736,8.7,6403.2
21,23.0,3.0,10.0,1.0,0,9,Hyderabad,Reliance Power,609,8.4,5115.6
20,23.0,0.0,7.0,1.0,0,6,Ahmedabad,Adani Power Ltd.,521,7.9,4115.900000000001
22,22.0,1.0,6.0,1.0,0,11,Navi Mumbai,SJVN Ltd.,349,9.3,3245.7000000000003
22,22.0,1.0,17.0,12.0,0,6,Hyderabad,Jyoti Structure,799,8.4,6711.6
15,23.0,2.0,16.0,1.0,0,1,Vadodara,Guj Ind Power,718,7.8,5600.4
10,19.0,1.0,16.0,1.0,0,2,Kolkata,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",303,8.7,2636.1
18,23.0,0.0,4.0,1.0,0,9,Faridabad,Reliance Power,517,8.1,4187.7
19,22.0,0.0,12.0,1.0,0,2,Kolkata,Ringfeder Power Transmission India Pvt. Ltd.,377,8.7,3279.8999999999996
9,20.0,3.0,18.0,1.0,0,12,Chennai,Ringfeder Power Transmission India Pvt. Ltd.,431,8.8,3792.8
5,20.0,0.0,16.0,7.0,0,6,Pune,Unitech Power Transmission Ltd.,483,9.1,4395.3
17,23.0,2.0,15.0,12.0,0,3,Dahej,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",759,7.6,5768.4
6,22.0,3.0,19.0,1.0,0,12,Kolkata,L&T Transmission & Distribution,469,8.7,4080.2999999999997
6,23.0,1.0,3.0,1.0,0,11,Ratnagiri,Reliance Energy,497,7.4,3677.8
15,22.0,1.0,3.0,1.0,0,11,Dahej,Ringfeder Power Transmission India Pvt. Ltd.,428,7.6,3252.7999999999997
6,21.0,3.0,15.0,7.0,0,1,Navi Mumbai,Unitech Power Transmission Ltd.,629,9.3,5849.700000000001
5,19.0,2.0,22.0,7.0,0,10,Mumbai,Power Grid Corp,509,9.2,4682.799999999999
23,23.0,0.0,21.0,1.0,0,5,Navi Mumbai,GE T&D India Limited,631,9.3,5868.3
13,23.0,3.0,3.0,1.0,0,7,Dahej,Bonfiglioli Transmission Pvt. Ltd.,536,7.6,4073.6
7,17.0,1.0,3.0,1.0,0,9,Ratnagiri,Guj Ind Power,155,7.4,1147.0
5,20.0,1.0,18.0,1.0,0,5,Navi Mumbai,Jaiprakash Power,387,9.3,3599.1000000000004
23,23.0,2.0,4.0,1.0,0,7,Faridabad,SJVN Ltd.,429,8.1,3474.8999999999996
16,22.0,3.0,21.0,1.0,0,11,Hyderabad,Tata Power Company Ltd.,645,8.4,5418.0
11,23.0,1.0,5.0,1.0,0,3,Chennai,Jyoti Structure,528,8.8,4646.400000000001
9,20.0,0.0,18.0,1.0,0,3,Hyderabad,Neueon Towers / Sujana Towers Ltd.,548,8.4,4603.2
10,20.0,3.0,13.0,1.0,0,11,Dahej,Power Grid Corp,367,7.6,2789.2
8,17.0,1.0,18.0,1.0,0,2,Faridabad,KEC International,278,8.1,2251.7999999999997
23,22.0,2.0,13.0,1.0,0,8,Nagpur,Neueon Towers / Sujana Towers Ltd.,561,8.9,4992.900000000001
9,19.0,0.0,19.0,1.0,0,10,Nagpur,Jaiprakash Power,547,8.9,4868.3
19,23.0,0.0,12.0,1.0,0,8,Ahmedabad,Guj Ind Power,465,7.9,3673.5
11,23.0,0.0,3.0,1.0,0,10,Hyderabad,L&T Transmission & Distribution,432,8.4,3628.8
19,22.0,3.0,6.0,1.0,0,6,Pune,Adani Power Ltd.,494,9.1,4495.4
6,23.0,0.0,22.0,1.0,0,8,Noida,NHPC,489,8.2,4009.7999999999997
17,23.0,3.0,6.0,1.0,0,6,Nagpur,Jyoti Structure,508,8.9,4521.2
19,22.0,3.0,4.0,1.0,0,3,Mumbai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,518,9.2,4765.599999999999
15,23.0,1.0,16.0,12.0,0,5,Vadodara,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",538,7.8,4196.4
23,23.0,1.0,8.0,1.0,0,10,Kolkata,KEC International,574,8.7,4993.799999999999
20,23.0,2.0,15.0,1.0,0,3,New Delhi,NTPC Pvt. Ltd.,590,8.5,5015.0
15,22.0,3.0,19.0,1.0,0,4,Ratnagiri,Neueon Towers / Sujana Towers Ltd.,648,7.4,4795.2
6,20.0,3.0,18.0,1.0,0,8,Ahmedabad,Jyoti Structure,462,7.9,3649.8
21,22.0,1.0,16.0,1.0,0,8,Nagpur,GE T&D India Limited,608,8.9,5411.2
5,21.0,0.0,13.0,1.0,0,6,Vadodara,NHPC,324,7.8,2527.2
23,22.0,3.0,11.0,1.0,0,9,Navi Mumbai,Kalpataru Power,604,9.3,5617.200000000001
11,23.0,0.0,6.0,1.0,0,11,Mumbai,Jyoti Structure,252,9.2,2318.3999999999996
15,22.0,0.0,19.0,1.0,0,11,Ahmedabad,TransRail Lighting,469,7.9,3705.1000000000004
22,22.0,2.0,12.0,12.0,0,11,Ahmedabad,GE T&D India Limited,578,7.9,4566.2
20,23.0,0.0,13.0,1.0,0,4,Hyderabad,Jyoti Structure,441,8.4,3704.4
9,20.0,2.0,3.0,1.0,0,3,Kolkata,NTPC Pvt. Ltd.,489,8.7,4254.299999999999
14,23.0,2.0,4.0,1.0,0,7,Nagpur,JSW Energy Ltd.,431,8.9,3835.9
10,18.0,2.0,5.0,1.0,0,1,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),249,9.3,2315.7000000000003
20,22.0,0.0,7.0,12.0,0,5,Kolkata,Indowind Energy,436,8.7,3793.2
11,23.0,3.0,6.0,1.0,0,10,Ratnagiri,Indowind Energy,628,7.4,4647.2
12,22.0,2.0,5.0,1.0,0,2,Ahmedabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",416,7.9,3286.4
14,22.0,0.0,10.0,1.0,0,5,Nagpur,Orient Green,418,8.9,3720.2000000000003
7,22.0,3.0,11.0,1.0,0,3,Faridabad,NHPC,571,8.1,4625.099999999999
7,22.0,1.0,7.0,1.0,0,9,New Delhi,Jaiprakash Power,491,8.5,4173.5
5,23.0,0.0,16.0,7.0,0,9,Mumbai,SJVN Ltd.,412,9.2,3790.3999999999996
10,22.0,2.0,11.0,1.0,0,2,New Delhi,Indowind Energy,438,8.5,3723.0
6,20.0,3.0,14.0,1.0,0,4,Pune,Orient Green,587,9.1,5341.7
8,17.0,3.0,15.0,1.0,0,6,Shimla,Sterlite Power Transmission Ltd,472,7.7,3634.4
13,22.0,1.0,5.0,1.0,0,10,Kolkata,JSW Energy Ltd.,462,8.7,4019.3999999999996
18,22.0,3.0,6.0,1.0,0,11,Faridabad,Torrent Power Ltd.,610,8.1,4941.0
6,20.0,2.0,7.0,1.0,0,10,Hyderabad,Reliance Energy,386,8.4,3242.4
9,23.0,1.0,10.0,1.0,0,7,Vadodara,KEC International,581,7.8,4531.8
12,22.0,3.0,15.0,1.0,0,11,Nagpur,Jaiprakash Power,526,8.9,4681.400000000001
20,23.0,3.0,15.0,12.0,0,10,Noida,Unitech Power Transmission Ltd.,663,8.2,5436.599999999999
17,23.0,1.0,3.0,1.0,0,7,Nagpur,NHPC,528,8.9,4699.2
6,19.0,2.0,6.0,1.0,0,8,Gurgaon,Unitech Power Transmission Ltd.,352,8.3,2921.6000000000004
16,22.0,3.0,8.0,1.0,0,1,Nagpur,Neueon Towers / Sujana Towers Ltd.,476,8.9,4236.400000000001
9,20.0,0.0,5.0,1.0,0,9,New Delhi,Tata Power Company Ltd.,430,8.5,3655.0
13,23.0,0.0,9.0,1.0,0,2,Chennai,Indowind Energy,262,8.8,2305.6000000000004
8,22.0,1.0,7.0,1.0,0,9,Hyderabad,Torrent Power Ltd.,287,8.4,2410.8
7,20.0,0.0,21.0,1.0,0,9,Gurgaon,Tata Power Company Ltd.,593,8.3,4921.900000000001
14,23.0,0.0,8.0,1.0,0,4,Gurgaon,Optibelt Power Transmission India Private Limited,306,8.3,2539.8
6,21.0,0.0,21.0,7.0,0,11,Noida,NHPC,616,8.2,5051.2
22,23.0,3.0,21.0,1.0,0,10,Mumbai,Guj Ind Power,745,9.2,6853.999999999999
14,22.0,3.0,21.0,1.0,0,2,Noida,Reliance Power,588,8.2,4821.599999999999
20,22.0,1.0,8.0,1.0,0,11,Nagpur,Ringfeder Power Transmission India Pvt. Ltd.,592,8.9,5268.8
20,23.0,1.0,8.0,1.0,0,10,Mumbai,Optibelt Power Transmission India Private Limited,441,9.2,4057.2
22,23.0,1.0,18.0,1.0,0,2,Faridabad,Ringfeder Power Transmission India Pvt. Ltd.,653,8.1,5289.3
9,22.0,1.0,4.0,7.0,0,5,Pune,Jaiprakash Power,549,9.1,4995.9
5,21.0,0.0,7.0,1.0,0,7,Gurgaon,NTPC Pvt. Ltd.,387,8.3,3212.1000000000004
13,22.0,2.0,20.0,1.0,0,8,Nagpur,Jaiprakash Power,712,8.9,6336.8
18,22.0,1.0,20.0,1.0,0,3,Ratnagiri,NLC India,492,7.4,3640.8
15,23.0,3.0,9.0,1.0,0,12,Nagpur,Torrent Power Ltd.,498,8.9,4432.2
20,22.0,3.0,11.0,1.0,0,6,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),589,9.3,5477.700000000001
7,22.0,3.0,22.0,1.0,0,8,Dahej,KEC International,655,7.6,4978.0
9,17.0,1.0,12.0,7.0,0,12,Faridabad,Orient Green,303,8.1,2454.2999999999997
14,23.0,1.0,17.0,1.0,0,9,Chennai,Jaiprakash Power,455,8.8,4004.0000000000005
9,19.0,0.0,20.0,1.0,0,8,Kolkata,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",382,8.7,3323.3999999999996
9,23.0,2.0,9.0,1.0,0,9,Navi Mumbai,Adani Power Ltd.,354,9.3,3292.2000000000003
5,17.0,1.0,5.0,7.0,0,2,Navi Mumbai,Guj Ind Power,298,9.3,2771.4
20,23.0,0.0,11.0,1.0,0,5,Nagpur,NTPC Pvt. Ltd.,613,8.9,5455.7
23,23.0,3.0,20.0,1.0,0,12,Noida,JSW Energy Ltd.,601,8.2,4928.2
7,23.0,0.0,12.0,1.0,0,1,Ahmedabad,NTPC Pvt. Ltd.,556,7.9,4392.400000000001
21,23.0,1.0,6.0,1.0,0,8,Pune,Reliance Power,503,9.1,4577.3
8,19.0,2.0,5.0,1.0,0,8,Kolkata,CESC,354,8.7,3079.7999999999997
12,22.0,2.0,19.0,1.0,0,11,Nagpur,Reliance Power,435,8.9,3871.5
15,22.0,3.0,3.0,1.0,0,1,Chennai,Neueon Towers / Sujana Towers Ltd.,392,8.8,3449.6000000000004
17,23.0,0.0,14.0,1.0,0,3,Chennai,Adani Power Ltd.,638,8.8,5614.400000000001
17,23.0,3.0,22.0,1.0,0,12,Hyderabad,Orient Green,642,8.4,5392.8
18,23.0,3.0,21.0,12.0,0,11,Nagpur,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",733,8.9,6523.7
20,23.0,2.0,8.0,1.0,0,1,Hyderabad,NTPC Pvt. Ltd.,498,8.4,4183.2
7,20.0,1.0,18.0,1.0,0,7,Pune,Orient Green,343,9.1,3121.2999999999997
17,23.0,2.0,17.0,1.0,0,5,Gurgaon,CESC,680,8.3,5644.000000000001
15,22.0,3.0,14.0,1.0,0,5,Dahej,Adani Power Ltd.,675,7.6,5130.0
9,21.0,3.0,4.0,1.0,0,6,Faridabad,Indowind Energy,334,8.1,2705.4
15,23.0,0.0,14.0,1.0,0,9,Ratnagiri,Unitech Power Transmission Ltd.,346,7.4,2560.4
14,22.0,0.0,10.0,1.0,0,1,Faridabad,JSW Energy Ltd.,438,8.1,3547.7999999999997
19,23.0,0.0,3.0,1.0,0,10,Ahmedabad,Jaiprakash Power,370,7.9,2923.0
20,22.0,0.0,14.0,1.0,0,6,Navi Mumbai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",439,9.3,4082.7000000000003
17,22.0,1.0,5.0,1.0,0,11,Dahej,Ringfeder Power Transmission India Pvt. Ltd.,468,7.6,3556.7999999999997
11,23.0,3.0,21.0,1.0,0,9,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,555,7.9,4384.5
15,23.0,3.0,6.0,1.0,0,8,Gurgaon,NHPC,440,8.3,3652.0000000000005
11,22.0,1.0,9.0,1.0,0,4,Dahej,Optibelt Power Transmission India Private Limited,481,7.6,3655.6
12,23.0,3.0,9.0,12.0,0,12,Shimla,GE T&D India Limited,512,7.7,3942.4
6,22.0,3.0,8.0,1.0,0,4,Vadodara,Indowind Energy,414,7.8,3229.2
18,22.0,3.0,18.0,1.0,0,9,Mumbai,Reliance Energy,667,9.2,6136.4
14,23.0,1.0,16.0,1.0,0,10,Ratnagiri,SJVN Ltd.,418,7.4,3093.2000000000003
21,22.0,0.0,6.0,1.0,0,9,Gurgaon,Power Grid Corp,517,8.3,4291.1
10,22.0,1.0,21.0,1.0,0,5,Faridabad,JSW Energy Ltd.,577,8.1,4673.7
19,23.0,3.0,14.0,12.0,0,8,Kolkata,Ringfeder Power Transmission India Pvt. Ltd.,858,8.7,7464.599999999999
